StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q7,Q3,Q4
2022-03-31 08:15:22,2022-03-31 08:16:16,IP Address,130.189.175.200,100,54,True,2022-03-31 08:16:17,R_9uZ89EsYfwSWeNb,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,"Knowing more about person vs identity first language
",
2022-03-31 08:15:00,2022-03-31 08:16:23,IP Address,130.189.175.152,100,83,True,2022-03-31 08:16:23,R_3MsOVFKtLGUTQdT,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Satisfied,,Helpful to hear perspectives from autistic individuals,
2022-03-31 08:14:58,2022-03-31 08:16:24,IP Address,130.189.153.169,100,85,True,2022-03-31 08:16:24,R_2Bbnq1h11QiLzMr,,,,,43.701904296875,-72.2826995849609375,anonymous,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Satisfied,,"The perspective of the person with ASD was very helpful, especially the discussion of person-first versus identity first language.",This session may be somewhat condensed.
2022-03-31 08:14:48,2022-03-31 08:16:27,IP Address,130.189.175.144,100,99,True,2022-03-31 08:16:28,R_1DSB4nmI1awyyKM,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,"Cultural competency coming from the perspective of advocates ","Not sure I don’t know much about developmental disabilities "
2022-03-31 08:16:11,2022-03-31 08:16:36,IP Address,130.189.175.204,100,25,True,2022-03-31 08:16:37,R_22F8XWvLRZ9zIpa,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Highly satisfied,,Sharing a few key questions to use,
2022-03-31 08:16:24,2022-03-31 08:17:07,IP Address,130.189.175.200,100,42,True,2022-03-31 08:17:07,R_3qPzy8i5wqf4hKy,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Highly satisfied,,I liked the focus on how different cultural backgrounds can shape how one interacts with their community and healthcare system,
2022-03-31 08:16:36,2022-03-31 08:17:20,IP Address,130.189.175.152,100,43,True,2022-03-31 08:17:20,R_1P1ORNTJ2ucp343,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Satisfied,,"Liked examples of questions and connecting different aspects of cultural competency with IDD diversity ",
2022-03-31 08:16:00,2022-03-31 08:17:21,IP Address,130.189.175.152,100,80,True,2022-03-31 08:17:21,R_2rusKLjJ46iKpag,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Satisfied,,"Clear definitions ","I would love additional examples of how culturally competent care care be delivered "
2022-03-31 08:16:12,2022-03-31 08:17:42,IP Address,130.189.154.70,100,90,True,2022-03-31 08:17:43,R_24C2O7DYk1CQ8Ey,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Highly satisfied,,"I appreciated the patient advocate perspective ","Some of the overview of cultural competency was review for me, but this may not be the case for others."
2022-03-31 08:16:28,2022-03-31 08:18:36,IP Address,130.189.153.169,100,128,True,2022-03-31 08:18:36,R_73NrDd17CH6VBaV,,,,,43.701904296875,-72.2826995849609375,anonymous,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Satisfied,,"Perspective of the neurodiverse individual was useful. Good argument was made about why cultural competency is particularly important for individuals with IDD, and the identificaiton of specific resources (like the DSM cultural interview)",I think I have heard about data that suggests that IATs are not necessarily effective at causing change in how people act.
2022-03-31 08:17:11,2022-03-31 08:31:09,IP Address,130.189.175.200,100,838,True,2022-03-31 08:31:09,R_vUio9DTiB5PBSJb,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Highly satisfied,,I liked the focus on integrating a patient's care team to help understand barriers to care access more,
2022-03-31 08:30:47,2022-03-31 08:31:13,IP Address,216.66.108.218,100,25,True,2022-03-31 08:31:14,R_3f4yWICFTtK74NX,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Highly satisfied,,"Outlining the services available for individuals with IDD was helpful ",
2022-03-31 08:30:25,2022-03-31 08:31:25,IP Address,130.189.154.70,100,59,True,2022-03-31 08:31:25,R_2Todfk6C1jay1sA,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Highly satisfied,,Good overview of the different services available,
2022-03-31 08:18:37,2022-03-31 08:31:37,IP Address,130.189.153.169,100,779,True,2022-03-31 08:31:37,R_3fCxSUKEnuBI3PY,,,,,43.701904296875,-72.2826995849609375,anonymous,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Satisfied,,Understanding the broad array of services that are available to patients.,"If there is a way to make the training specific to the state(s) it is being administered in, to discuss how people go about accessing the services in that state, it could be helpful"
2022-03-31 08:32:28,2022-03-31 08:33:02,IP Address,130.189.175.152,100,34,True,2022-03-31 08:33:02,R_VOpkl00XuNeBJ4J,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Satisfied,,"Helpful to get a breakdown of different services for a team for IDD patients and families ",
2022-03-31 08:30:57,2022-03-31 08:33:09,IP Address,130.189.175.152,100,131,True,2022-03-31 08:33:09,R_1eVRea8oVObS6py,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Somewhat Satisfied,"It would be helpful to get a more complete idea of what systems can be accessed and what a typical process of getting services would be ","The definitions and basic frameworks ",
2022-03-31 09:02:58,2022-03-31 09:03:33,IP Address,216.66.108.218,100,34,True,2022-03-31 09:03:33,R_2WZFyF0X9rkK9Oh,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,,"Dr. Tomasulo is very passionate and a great teacher ",
2022-03-31 09:03:18,2022-03-31 09:04:07,IP Address,130.189.175.152,100,49,True,2022-03-31 09:04:08,R_u3UZNvJWIozg4ff,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Satisfied,,"Helpful to see different elements to address strengths in patients ",
2022-03-31 09:02:53,2022-03-31 09:04:14,IP Address,130.189.154.70,100,81,True,2022-03-31 09:04:15,R_PFpxfSFmuBXmucN,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,,Great intro to positive medicine and instilling hope in this patient population. Presentation felt motivating and instilled hope in me.,
2022-03-31 09:03:31,2022-03-31 09:04:27,IP Address,130.189.175.200,100,56,True,2022-03-31 09:04:27,R_12moE9Cm67gBCfy,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,,I liked the focus on finding strengths in patients to help frame ways that they can continue to utilize those strengths,
2022-03-31 09:12:47,2022-03-31 09:13:20,IP Address,130.189.175.200,100,33,True,2022-03-31 09:13:20,R_3iqcQdDorFbQkT6,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Highly satisfied,,"The focus on how medications are a tool, not an answer",
2022-03-31 09:06:25,2022-03-31 09:13:22,IP Address,216.66.108.218,100,417,True,2022-03-31 09:13:23,R_3EFGj8A0j7JHfXM,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Not Satisfied,"Very broad, somewhat rambly, could be shortened and included as a part of another module ","Good principles ",
2022-03-31 09:06:12,2022-03-31 09:13:51,IP Address,130.189.175.152,100,458,True,2022-03-31 09:13:51,R_2TZTlENts0an26G,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Satisfied,,"Appreciated there was more of a focus on pharmacology techniques/depreacribing if neccesry as opposed to specific meds ",
2022-03-31 09:36:40,2022-03-31 09:37:18,IP Address,130.189.175.200,100,37,True,2022-03-31 09:37:19,R_UJX6itBS30nkAlX,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Highly satisfied,,"I liked the focus on the ""whole person"" rather than just on their limitations",
2022-03-31 09:36:50,2022-03-31 09:37:24,IP Address,216.66.108.218,100,34,True,2022-03-31 09:37:24,R_3h53SLpI8jjDjHr,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Satisfied,,It was helpful to get the experience from parents of individuals with IDD,
2022-03-31 09:36:42,2022-03-31 09:38:15,IP Address,130.189.154.70,100,93,True,2022-03-31 09:38:16,R_wMlzB8nSs44OdBn,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Somewhat Satisfied,For me at my current level of training it was largely an overview of things I already know,Interesting perspectives about the role of medication,
2022-03-31 09:37:56,2022-03-31 09:38:20,IP Address,174.196.207.251,100,23,True,2022-03-31 09:38:20,R_1rODaWyrQ4RHl0c,,,,,42.34979248046875,-71.07649993896484375,qr,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Highly satisfied,,"Patient perspectives of what makes a good provider ",
2022-03-31 09:38:40,2022-03-31 09:39:11,IP Address,174.196.207.251,100,30,True,2022-03-31 09:39:12,R_1gzGEXrWTlvPiNS,,,,,42.34979248046875,-71.07649993896484375,qr,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Satisfied,,"I liked general principles but wish there was a bit more specificity ",
2022-03-31 09:38:19,2022-03-31 09:39:46,IP Address,130.189.154.70,100,87,True,2022-03-31 09:39:46,R_2dZ01JRGfml4WLo,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Satisfied,,Good overview of the different types of medical issues that arise and how they might be missed. Appreciated the views from patient families.,Module was a bit long
2022-03-31 09:37:39,2022-03-31 09:39:49,IP Address,130.189.175.200,100,130,True,2022-03-31 09:39:49,R_3Ra2bXIZOYDqSb9,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Highly satisfied,n/a,very detailed,n/a
2022-03-31 09:38:52,2022-03-31 09:40:40,IP Address,130.189.153.85,100,108,True,2022-03-31 09:40:40,R_25ubu2XAL8nNXwJ,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Highly satisfied,,it was straight forward.,
2022-03-31 09:13:59,2022-03-31 09:45:48,IP Address,130.189.175.152,100,1908,True,2022-03-31 09:45:48,R_W11dBO2T12aPRkZ,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Satisfied,,"Liked going through medical systems and correlations with MH in IDD pts ",
2022-03-31 09:58:31,2022-03-31 09:59:11,IP Address,130.189.153.85,100,39,True,2022-03-31 09:59:11,R_2dyeiDvVt2Ktkj7,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Introduction to Positive Medicine- Joan Beasley, PhD and Dan Tomasulo, PhD",Highly satisfied,,learned importance of a positive alliance.,
2022-03-31 09:59:20,2022-03-31 09:59:50,IP Address,130.189.153.85,100,30,True,2022-03-31 09:59:50,R_spVsd6ZbLgK1Pax,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Introduction to Neurodiversity- Melanie Hecker, MPA and Jennifer McLaren, MD",Highly satisfied,,learned about different conditions.,
2022-03-31 10:00:02,2022-03-31 10:00:23,IP Address,130.189.153.85,100,21,True,2022-03-31 10:00:24,R_2OK0wtKRtVXUtzs,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Culturally Competent Patient Care- Roberto Blanco, MD and Kristal Garcia, LMSW",Highly satisfied,,importance of cultural competence,
2022-03-31 10:00:32,2022-03-31 10:01:31,IP Address,130.189.153.85,100,59,True,2022-03-31 10:01:32,R_3lKS6xnw9wsBO3U,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"Systems of Care for People with IDD- Jennifer McLaren, MD and Lisa Plotnick, MD",Highly satisfied,,a multidisciplinary approach is crucial,
2022-03-31 10:05:24,2022-03-31 10:05:57,IP Address,130.189.175.200,100,32,True,2022-03-31 10:05:57,R_1LjNRHIQneNKCRF,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Highly satisfied,,I liked each person's own perspective on their interactions with the healthcare system,
2022-03-31 10:05:35,2022-03-31 10:06:01,IP Address,130.189.175.152,100,25,True,2022-03-31 10:06:02,R_1QcSfsejlEZW3ra,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Satisfied,,"Appreciated concrete recommendations for how to facilitate visits for IDD patients ",
2022-03-31 11:05:57,2022-03-31 11:06:20,IP Address,71.235.189.182,100,23,True,2022-03-31 11:06:21,R_pcry8s7NU3Uv8vD,,,,,43.644805908203125,-72.29709625244140625,qr,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Highly satisfied,,"Really useful info about seeing patients for appointments ",
2022-04-06 05:01:23,2022-04-06 05:02:37,IP Address,76.24.253.43,100,74,True,2022-04-06 05:02:38,R_yTInDTTdS6XRKyR,,,,,43.70190000000000196678229258395731449127197265625,-72.282700000000005502442945726215839385986328125,anonymous,EN,"Fundamentals of Psychopharmacology- Jarrett Barnhill, MD",Somewhat Satisfied,"I foudn the audio recording quality to be inferior to some of the other videos, and it was harder to understand what was said at times.",It is useful to come away with the understanding that pharmacology is basically an adjunctive tool but not the primary treatment to consider,See above
2022-04-06 05:02:43,2022-04-06 05:22:22,IP Address,76.24.253.43,100,1178,True,2022-04-06 05:22:22,R_1CHqNXKUwG6jqxw,,,,,43.70190000000000196678229258395731449127197265625,-72.282700000000005502442945726215839385986328125,anonymous,EN,"Medical Assessment Considerations- Leslie Rubin, MD",Satisfied,,Knowing certain disorders to consider that are more likely in individuals with ASD.,
2022-04-06 05:22:26,2022-04-06 05:35:11,IP Address,76.24.253.43,100,764,True,2022-04-06 05:35:12,R_1QLPFR9o2Odtqbe,,,,,43.70190000000000196678229258395731449127197265625,-72.282700000000005502442945726215839385986328125,anonymous,EN,"The Lived Experience Perspective- Melanie Hecker, MPA, Susan Klick, BA, and Beth Grosso, MSW",Highly satisfied,,There are so many helpful ideas about making the practice environment and experience comfortable for patients with IDD.,
2022-04-06 13:49:53,2022-04-06 13:53:07,IP Address,96.92.150.33,100,193,True,2022-04-06 13:53:07,R_qJTmpLkShlUiv61,,,,,42.8575000000000017053025658242404460906982421875,-72.59399999999999408828443847596645355224609375,qr,EN,"Grief and Loss in IDD - Dan Baker, PhD and Katy Stratigos, MD",Highly satisfied,,"I really liked the explanation of different kinds of grief and the insight into how loss of a caregiver can lead to multiple losses as well. I had never considered that before. ",
2022-04-07 07:40:27,2022-04-07 07:41:02,IP Address,216.66.108.218,100,35,True,2022-04-07 07:41:03,R_sHZ24Ltn1F1E24h,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,"Both presenters were very clear and explained all of the terminology very eloquently. Great job! ",
2022-04-07 07:40:02,2022-04-07 07:41:19,IP Address,130.189.175.144,100,76,True,2022-04-07 07:41:19,R_3lS0pRPhDKxiFyy,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,"Appreciated going through different medical etiologies as well as discussing risk factors for misdiagnosis and psychological and social factors ","Would be helpful maybe to have patient or family perspective on why this model is helpful "
2022-04-07 07:40:59,2022-04-07 07:41:33,IP Address,130.189.175.148,100,33,True,2022-04-07 07:41:33,R_2D2NzmjJjYlG8ww,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,"Aware of important factors to consider when managing ",
2022-04-07 07:40:40,2022-04-07 07:41:44,IP Address,130.189.175.148,100,63,True,2022-04-07 07:41:44,R_2ZJqG3BwC97Cjad,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Satisfied,,"Consideration of rates of trauma in individuals with IDD, relative rates of other mental health conditions, and specific medical conditions to be looking for.",
2022-04-07 07:40:39,2022-04-07 07:41:47,IP Address,130.189.175.148,100,67,True,2022-04-07 07:41:47,R_UnjC0kcRZxVNuyB,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Somewhat Satisfied,"The information presented is useful, but it might be helpful to make things more lively, perhaps by introducing real patients and case examples.",Learning about medical conditions that impact psychiatric presentations of IDD,More storytelling of real patients with case studies
2022-04-07 07:41:38,2022-04-07 07:42:25,IP Address,130.189.157.5,100,46,True,2022-04-07 07:42:25,R_1YUO8JEqd6Lq2Zj,,,,,43.6238000000000027966962079517543315887451171875,-72.13200000000000500222085975110530853271484375,anonymous,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Satisfied,,Appreciated the review of the contributing factors in each category,
2022-04-07 07:42:27,2022-04-07 07:43:07,IP Address,130.189.175.200,100,40,True,2022-04-07 07:43:07,R_1qfvvLiV1UsyeqL,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,anonymous,EN,"Biopsychosocial Assessment Considerations- Melanie Hecker, MPA, Jill Hinton, PhD, and Jennifer McLaren, MD",Highly satisfied,,I think highlighting trauma for patients with IDD is quite important and could be easily missed during interview.,
2022-04-07 07:40:42,2022-04-07 07:41:17,IP Address,130.189.175.148,100,34,True,2022-04-07 07:56:19,R_2s6d9Gn0r2d9diM,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Depression and Bipolar Disorder- Jenee Lewis-Walker, PhD and Jennifer McLaren, MD",Highly satisfied,,Cultural competency,
2022-04-07 08:05:20,2022-04-07 08:05:43,IP Address,130.189.175.148,100,22,True,2022-04-07 08:05:43,R_C2kegBmocQ3bxM5,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,"Collateral information ",
2022-04-07 08:05:09,2022-04-07 08:05:48,IP Address,130.189.175.144,100,38,True,2022-04-07 08:05:49,R_2rDij23KeSDvq8M,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,Liked the multiple perspectives in between the discussions of how to do a psych assessment in IDD,
2022-04-07 08:05:26,2022-04-07 08:05:57,IP Address,130.189.175.148,100,30,True,2022-04-07 08:05:57,R_3Ed6IFT5qZ8G6i6,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,Integrating real patient and family stories,
2022-04-07 08:05:19,2022-04-07 08:05:59,IP Address,216.66.108.218,100,39,True,2022-04-07 08:05:59,R_2YEYCvBXBRCC7Um,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,"I enjoyed the explanation of the terminology. Dr. McLaren really broke it down and made it clear. ",
2022-04-07 08:05:22,2022-04-07 08:06:00,IP Address,130.189.175.148,100,37,True,2022-04-07 08:06:00,R_5ABrnmAL4Rpqvmh,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,"Really great ideas for considering complicating factors in diagnosis (the 4 things that Dr. McLaren went over were very useful). ",
2022-04-07 08:05:40,2022-04-07 08:06:46,IP Address,130.189.157.5,100,65,True,2022-04-07 08:06:46,R_1Kx96ZhRW6goxMb,,,,,43.6238000000000027966962079517543315887451171875,-72.13200000000000500222085975110530853271484375,anonymous,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,"Appreciated overview of the unique issues that can arise, which were well-supported by the patient examples.",
2022-04-07 08:06:23,2022-04-07 08:06:54,IP Address,130.189.175.200,100,30,True,2022-04-07 08:06:54,R_5hIHiFOhG8sXBct,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,anonymous,EN,"Psychiatric Assessment in IDD- Dan Baker, PhD and Jennifer McLaren, MD",Highly satisfied,,I liked the discussion about how interviewing patients directly is commonly missed but is quite important,
2022-04-07 08:34:52,2022-04-07 08:35:51,IP Address,130.189.175.144,100,58,True,2022-04-07 08:35:51,R_24iqZ42PcV9C3u2,,,,,43.64439999999999741930878371931612491607666015625,-72.2455000000000069348971010185778141021728515625,qr,EN,"Trauma and Stressor Related Disorders- Jill Hinton, PhD and Roberto Blanco, MD",Highly satisfied,,"Appreciated going through the diagnosis and treatments in a biopsychosocial approach ","Patient perspective may be helpful to showcase impact of trauma informed care "
