StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q52,Q1,Q1_9_TEXT,Q25,Q26,Q26_6_TEXT,Q27,Q27_9_TEXT,Q28,Q28_4_TEXT,Q29,Q29_3_TEXT,Q2,Q3,Q4,Q5,Q6,Q10,Q30,Q31,Q34,Q36,Q37,Q39,Q11,Q12,Q13,Q22,Q23,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,SC0
2022-03-31 07:22:23,2022-03-31 07:32:22,IP Address,130.189.175.148,100,599,True,2022-03-31 07:32:23,R_28Bw1xwAMyWuk5o,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you consent to participate in the research study,1st Year Fellow,,33-40,Female,,White,,Non-Hispanic,,English,,Some,Very little,Slightly knowledgeable,"How to assess that patient is getting adequate services ","Anxiety, Depression, & Trauma-Related Disorders",Helping a person with their symptoms and to reach their goals,"Because most research has been done on neuro typical individuals ND individuals can have presentations that look different and responses to medications that look different; they need different supports and adaptions  ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes","Taking into account culture when understanding patient needs and formulating their problems ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,divalproex",Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,18
2022-03-31 07:22:01,2022-03-31 07:33:01,IP Address,130.189.153.169,100,659,True,2022-03-31 07:33:01,R_1kObDMIGEvIx6D7,,,,,43.701904296875,-72.2826995849609375,anonymous,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Very little,Slightly knowledgeable,What is standard of care for individuals with IDD?,"Anxiety, Depression, & Trauma-Related Disorders","I am not familiar with this term. My guess is this would be a medication approach that takes the goal of optimizing wellbeing, rather than controlling behaviors.","It is important to not pathologize the experiences and behaviors of others that aren't typical. Some of these may not be harmful or distressing, and we risk doing harm by trying to treat those things.","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes","Making efforts to understand the cultural perspective(s) of the patient and family with whom one is working, and incorporating that perspective into treatment decision-making.","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver","Extensive, long-term behavior modification treatment","lithium,divalproex,risperidone",Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,17
2022-03-31 07:22:09,2022-03-31 07:33:50,IP Address,216.66.108.218,100,701,True,2022-03-31 07:33:51,R_1ETptUqbUR8kguJ,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,,1st Year Fellow,,26-32,Female,,Asian,,Non-Hispanic,,English,,Some,Some,Slightly knowledgeable,"How do we best work with families where multiple members have IDD in communicating our treatment goals and recommendations? ","Anxiety, Depression, & Trauma-Related Disorders","Treating the patient with unconditional positive regard ","We need to be welcoming, inclusive, and mindful of differences in neurological functioning. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Covering ears/eyes","Care for patients that takes into consideration their unique cultural beliefs and practices. ",Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Combination treatment, including pharmacotherapy/manualized psychotherapies","lithium,quetiapine,divalproex,aripiprazole",Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,17
2022-03-31 07:22:22,2022-03-31 07:33:52,IP Address,130.189.175.200,100,690,True,2022-03-31 07:33:53,R_1FePuMZZfcHIQYy,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,Click here if you consent to participate in the research study,1st Year Fellow,,26-32,Female,,Asian,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,"What are some interventions (medical, behavioral, etc.) that are commonly used for individuals with intellectual disabilities?","Anxiety, Depression, & Trauma-Related Disorders",?,?,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior",?,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Defer to the person’s caregiver,Give the patient the option to wait outside or in the car",An extensive review of previous diagnoses and treatment,"quetiapine,aripiprazole,risperidone",Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,19
2022-03-31 07:23:13,2022-03-31 07:35:56,IP Address,130.189.175.200,100,763,True,2022-03-31 07:35:58,R_339fJ0htfWOzjg3,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Moderate amount,A great deal,Moderately knowledgeable,I'd like to know a bit more about how patients can access care in resource poor settings,"Anxiety, Depression, & Trauma-Related Disorders",Focusing on providing medical care that maintains the focus on supporting patients,"Because, as a system, we'd like to provide comprehensive care for all patients; there is a wide range of needs within our patient population and not recognizing neurodiversity would limit the care we can provide for people who need it.","Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",Maintaining the frame that people have a variety of backgrounds and that these backgrounds shape the way they view themselves and the world around them. This can clearly impact they way they interact with healthcare.,Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,quetiapine,divalproex,risperidone",Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,17
2022-03-31 07:22:12,2022-03-31 07:36:22,IP Address,130.189.175.144,100,850,True,2022-03-31 07:36:23,R_2q9GRhZXy9d15Yc,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you consent to participate in the research study,2nd Year Fellow,,33-40,Female,,Asian Indian,,Non-Hispanic,,English,,Some,Some,Slightly knowledgeable,How can we get more social resources for these kids,"Anxiety, Depression, & Trauma-Related Disorders",Having Cultural competency and remaining open minded and objective,"Because symptoms may present in a plethora of different ways ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Increased repetitive speech and movement,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing",Understanding the social factors that play into their lives and health care,"Ask your patient exploratory questions,Talk to, and engage with, the patients’ caregiver rather than the patient themselves,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","aripiprazole,risperidone",Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,15
2022-03-31 07:23:16,2022-03-31 07:38:06,IP Address,130.189.154.70,100,889,True,2022-03-31 07:38:06,R_3dHfPvTouqaCpZa,,,,,43.6237945556640625,-72.1320037841796875,anonymous,EN,Click here if you consent to participate in the research study,3rd Year Resident,,33-40,Male,,White,,Non-Hispanic,,English,,Moderate amount,Some,Somewhat knowledgable,"How broad is the definition of intellectual and developmental disabilities? ","Anxiety, Depression, & Trauma-Related Disorders",Medicine that seeks that enhance the positive aspects of an individual's experience,"Individuals' cognitive and perceptual baselines can be quite diverse, along with their level of function and level of distress. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes","Care that takes into consideration an individual's background, values, and cultural practices to improve understanding of patient actions and beliefs and arrive at mutual goals of care. ",Ask questions other than that directly pertain to the reason for the visit,"Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver","Extensive, long-term behavior modification treatment","lithium,quetiapine,divalproex,aripiprazole,paliperidone,risperidone,cariprazine",Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,18
2022-03-31 07:29:15,2022-03-31 07:39:28,IP Address,130.189.175.156,100,612,True,2022-03-31 07:39:28,R_9HnB9aujocX113b,,,,,43.6443939208984375,-72.2454986572265625,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Some,Somewhat knowledgable,Are the same treatments useful for mental health disorders in these individuals?,"Anxiety, Depression, & Trauma-Related Disorders",Medicine that operates above zero?,It allows us to better understand the experience of the person we are caring for,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior","An awareness and respect for a person’s background, worldview, and lived experience to inform care. ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Combination treatment, including pharmacotherapy/manualized psychotherapies",divalproex,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,15
2022-03-31 09:03:03,2022-03-31 09:03:26,IP Address,172.225.113.52,100,22,True,2022-03-31 09:03:26,R_333buOYMbacp50L,,,,,39.9528045654296875,-75.1645965576171875,qr,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31 09:40:59,2022-03-31 09:57:35,IP Address,130.189.153.85,100,996,True,2022-03-31 09:57:36,R_2QW1XGDBBZoOg8g,,,,,43.6443939208984375,-72.2454986572265625,anonymous,EN,Click here if you consent to participate in the research study,2nd Year Fellow,,41-50,Male,,Asian,,Non-Hispanic,,English,,Moderate amount,Moderate amount,Moderately knowledgeable,what supports to give kids.,"Anxiety, Depression, & Trauma-Related Disorders",being nice to the patient and family,it makes patients more comfortable,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior",knowing the background of the patient's belief sytem.,Ask questions other than that directly pertain to the reason for the visit,"Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","aripiprazole,risperidone",Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,18
2022-03-31 09:36:47,2022-03-31 09:37:31,IP Address,172.225.30.2,40,43,False,2022-04-07 09:37:35,R_2urFsf33qymYMu4,,,,,,,qr,EN,Click here if you consent to participate in the research study,2nd Year Fellow,,26-32,Female,,Asian,,Non-Hispanic,,English,,Some,Some,Slightly knowledgeable,N-a,,,,,,,,,,,,,,,,,,,
